Epoch 1 Batch 2350 Loss 1.1149 Accuracy 0.1178
Epoch 1 Batch 2400 Loss 1.1084 Accuracy 0.1182
Epoch 1 Batch 2450 Loss 1.1016 Accuracy 0.1185
Epoch 1 Batch 2500 Loss 1.0954 Accuracy 0.1190
Epoch 1 Batch 2550 Loss 1.0886 Accuracy 0.1197
Epoch 1 Batch 2600 Loss 1.0823 Accuracy 0.1205
Epoch 1 Batch 2650 Loss 1.0761 Accuracy 0.1211
Epoch 1 Batch 2700 Loss 1.0693 Accuracy 0.1217
Epoch 1 Batch 2750 Loss 1.0635 Accuracy 0.1222
Epoch 1 Batch 2800 Loss 1.0575 Accuracy 0.1227
Epoch 1 Batch 2850 Loss 1.0516 Accuracy 0.1233
Epoch 1 Batch 2900 Loss 1.0460 Accuracy 0.1239
Epoch 1 Batch 2950 Loss 1.0404 Accuracy 0.1246
Epoch 1 Batch 3000 Loss 1.0349 Accuracy 0.1253
Epoch 1 Batch 3050 Loss 1.0296 Accuracy 0.1259
Epoch 1 Batch 3100 Loss 1.0244 Accuracy 0.1266
Epoch 1 Batch 3150 Loss 1.0189 Accuracy 0.1272
Epoch 1 Batch 3200 Loss 1.0143 Accuracy 0.1277
Epoch 1 Batch 3250 Loss 1.0093 Accuracy 0.1282
Epoch 1 Batch 3300 Loss 1.0044 Accuracy 0.1286
Epoch 1 Batch 3350 Loss 0.9999 Accuracy 0.1288
Epoch 1 Batch 3400 Loss 0.9983 Accuracy 0.1291
Epoch 1 Batch 3450 Loss 0.9993 Accuracy 0.1296
Epoch 1 Batch 3500 Loss 1.0017 Accuracy 0.1303
Epoch 1 Batch 3550 Loss 1.0045 Accuracy 0.1311
Epoch 1 Batch 3600 Loss 1.0079 Accuracy 0.1322
Epoch 1 Batch 3650 Loss 1.0113 Accuracy 0.1335
Epoch 1 Batch 3700 Loss 1.0148 Accuracy 0.1349
Epoch 1 Batch 3750 Loss 1.0183 Accuracy 0.1365
Epoch 1 Batch 3800 Loss 1.0216 Accuracy 0.1382
Epoch 1 Batch 3850 Loss 1.0246 Accuracy 0.1400
Epoch 1 Batch 3900 Loss 1.0273 Accuracy 0.1420
Epoch 1 Batch 3950 Loss 1.0293 Accuracy 0.1440
Epoch 1 Batch 4000 Loss 1.0312 Accuracy 0.1461
Epoch 1 Batch 4050 Loss 1.0328 Accuracy 0.1483
Epoch 1 Batch 4100 Loss 1.0339 Accuracy 0.1505
Epoch 1 Batch 4150 Loss 1.0351 Accuracy 0.1528
Epoch 1 Batch 4200 Loss 1.0358 Accuracy 0.1551
Epoch 1 Batch 4250 Loss 1.0362 Accuracy 0.1574
Epoch 1 Batch 4300 Loss 1.0364 Accuracy 0.1597
Epoch 1 Batch 4350 Loss 1.0369 Accuracy 0.1617
Epoch 1 Batch 4400 Loss 1.0378 Accuracy 0.1634
Epoch 1 Batch 4450 Loss 1.0389 Accuracy 0.1647
Epoch 1 Batch 4500 Loss 1.0402 Accuracy 0.1657
Epoch 1 Batch 4550 Loss 1.0419 Accuracy 0.1665
Epoch 1 Batch 4600 Loss 1.0432 Accuracy 0.1672
Epoch 1 Batch 4650 Loss 1.0447 Accuracy 0.1677
Epoch 1 Batch 4700 Loss 1.0461 Accuracy 0.1680
Epoch 1 Batch 4750 Loss 1.0476 Accuracy 0.1683
Epoch 1 Batch 4800 Loss 1.0489 Accuracy 0.1685
Epoch 1 Batch 4850 Loss 1.0501 Accuracy 0.1686
Epoch 1 Batch 4900 Loss 1.0510 Accuracy 0.1687
Epoch 1 Batch 4950 Loss 1.0518 Accuracy 0.1688
Epoch 1 Batch 5000 Loss 1.0525 Accuracy 0.1688
Epoch 1 Batch 5050 Loss 1.0529 Accuracy 0.1688
Epoch 1 Batch 5100 Loss 1.0534 Accuracy 0.1688
Epoch 1 Batch 5150 Loss 1.0540 Accuracy 0.1688
Epoch 1 Batch 5200 Loss 1.0544 Accuracy 0.1688
Epoch 1 Batch 5250 Loss 1.0546 Accuracy 0.1688
Epoch 1 Batch 5300 Loss 1.0550 Accuracy 0.1688
Epoch 1 Batch 5350 Loss 1.0551 Accuracy 0.1688
Epoch 1 Batch 5400 Loss 1.0551 Accuracy 0.1688
Epoch 1 Batch 5450 Loss 1.0552 Accuracy 0.1688
Epoch 1 Batch 5500 Loss 1.0552 Accuracy 0.1688
Epoch 1 Batch 5550 Loss 1.0552 Accuracy 0.1689
Epoch 1 Batch 5600 Loss 1.0548 Accuracy 0.1689
Epoch 1 Batch 5650 Loss 1.0547 Accuracy 0.1689
Epoch 1 Batch 5700 Loss 1.0544 Accuracy 0.1689
Epoch 1 Batch 5750 Loss 1.0540 Accuracy 0.1690
Epoch 1 Batch 5800 Loss 1.0537 Accuracy 0.1690
Epoch 1 Batch 5850 Loss 1.0535 Accuracy 0.1691
Epoch 1 Batch 5900 Loss 1.0534 Accuracy 0.1692
Epoch 1 Batch 5950 Loss 1.0528 Accuracy 0.1692
Epoch 1 Batch 6000 Loss 1.0525 Accuracy 0.1692
Epoch 1 Batch 6050 Loss 1.0519 Accuracy 0.1693
Epoch 1 Batch 6100 Loss 1.0515 Accuracy 0.1693
Epoch 1 Batch 6150 Loss 1.0510 Accuracy 0.1694
Epoch 1 Batch 6200 Loss 1.0503 Accuracy 0.1694
Epoch 1 Batch 6250 Loss 1.0497 Accuracy 0.1695
Epoch 1 Batch 6300 Loss 1.0492 Accuracy 0.1696
Epoch 1 Batch 6350 Loss 1.0485 Accuracy 0.1697
Epoch 1 Batch 6400 Loss 1.0479 Accuracy 0.1698
Epoch 1 Batch 6450 Loss 1.0474 Accuracy 0.1699
Epoch 1 Batch 6500 Loss 1.0469 Accuracy 0.1700
Epoch 1 Batch 6550 Loss 1.0462 Accuracy 0.1701
Epoch 1 Batch 6600 Loss 1.0455 Accuracy 0.1702
Epoch 1 Batch 6650 Loss 1.0447 Accuracy 0.1703
Epoch 1 Batch 6700 Loss 1.0441 Accuracy 0.1704
Epoch 1 Batch 6750 Loss 1.0435 Accuracy 0.1704
Epoch 1 Batch 6800 Loss 1.0428 Accuracy 0.1705
Epoch 1 Batch 6850 Loss 1.0420 Accuracy 0.1706
